victim_vec_bytes,n16,n32,n64,n128,n256
8,0.003,0.000,0.000,0.000,0.000
64,0.037,0.000,0.000,0.000,0.000
512,0.005,0.000,0.000,0.000,0.000
4096,0.004,0.000,0.000,0.000,0.000
32768,0.000,0.000,,0.000,
262144,0.000,,0.000,,0.000
2097152,0.000,0.000,0.000,0.000,0.000
16777216,0.000,0.000,0.000,,0.000
