victim_vec_bytes,n16,n32,n64,n128,n256
8,0.000,0.017,0.013,0.000,
64,0.000,0.009,0.012,0.000,
512,0.000,0.025,0.006,0.000,
4096,0.000,0.058,0.008,,
32768,0.000,0.010,0.017,,
262144,0.000,0.067,0.186,0.000,
2097152,0.000,0.049,0.151,0.000,
16777216,0.000,0.133,0.063,0.000,
