victim_vec_bytes,n16,n32,n64,n128,n256
8,1.003,0.999,0.988,0.991,
64,1.001,0.996,1.013,1.011,
512,1.000,0.997,0.989,1.003,
4096,1.002,0.995,0.981,,
32768,1.002,0.988,0.956,,
262144,0.997,0.985,0.708,1.003,
2097152,0.995,0.602,0.462,0.996,
16777216,1.013,0.713,0.390,1.006,
