victim_vec_bytes,n16,n32,n64,n128,n256
8,2,1,1,1,1
64,2,1,1,1,1
512,2,1,1,1,1
4096,2,1,1,1,1
32768,1,1,0,1,0
262144,1,0,1,0,1
2097152,1,1,1,1,1
16777216,1,1,1,0,1
