aggressor,nodes,victim_vec_bytes,n_reps,ratio_mean,ratio_std,ratio_cv_pct,ratio_min,ratio_max,alloc_nodes,global_overlap_nodes,global_overlap_frac,mean_pairwise_overlap_nodes,mean_pairwise_overlap_frac,mean_span_cells,mean_va_same_switch_frac,mean_va_same_cell_frac,mean_va_cross_cell_frac,ratio_vs_crosscell_r
inc,16,8,1,1.0029,0.0000,0.0,1.0029,1.0029,16,,,,,1,0.000,1.000,0.000,
inc,32,8,5,0.9884,0.0169,1.7,0.9593,1.0009,32,5,0.156,18.2,0.569,2.6,0.000,0.466,0.534,-0.635
inc,64,8,5,0.9747,0.0126,1.3,0.9551,0.9884,64,11,0.172,41.6,0.650,4.2,0.000,0.255,0.745,0.443
inc,128,8,1,0.9911,0.0000,0.0,0.9911,0.9911,128,,,,,9,0.000,0.112,0.888,
inc,16,64,1,1.0007,0.0000,0.0,1.0007,1.0007,16,,,,,1,0.000,1.000,0.000,
inc,32,64,5,0.9880,0.0093,0.9,0.9730,0.9961,32,7,0.219,21.7,0.678,3,0.000,0.415,0.585,-0.452
inc,64,64,5,0.9923,0.0125,1.3,0.9798,1.0128,64,13,0.203,43.3,0.677,4.2,0.000,0.257,0.743,0.918
inc,128,64,1,1.0107,0.0000,0.0,1.0107,1.0107,128,,,,,15,0.000,0.090,0.910,
inc,16,512,1,0.9997,0.0000,0.0,0.9997,0.9997,16,,,,,1,0.000,1.000,0.000,
inc,32,512,5,1.0076,0.0246,2.4,0.9850,1.0473,32,6,0.188,21,0.656,2.8,0.000,0.472,0.528,0.054
inc,64,512,5,0.9894,0.0061,0.6,0.9830,0.9963,64,12,0.188,42.4,0.662,4.2,0.000,0.251,0.749,0.103
inc,128,512,1,1.0025,0.0000,0.0,1.0025,1.0025,128,,,,,16,0.003,0.088,0.909,
inc,16,4096,1,1.0019,0.0000,0.0,1.0019,1.0019,16,,,,,1,0.000,1.000,0.000,
inc,32,4096,5,0.9447,0.0581,6.2,0.8648,0.9952,32,6,0.188,21.6,0.675,2.8,0.000,0.472,0.528,0.036
inc,64,4096,5,0.9748,0.0078,0.8,0.9628,0.9819,64,12,0.188,41.7,0.652,4.2,0.000,0.254,0.746,0.598
inc,16,32768,1,1.0025,0.0000,0.0,1.0025,1.0025,16,,,,,1,0.000,1.000,0.000,
inc,32,32768,5,0.9777,0.0105,1.1,0.9601,0.9877,32,6,0.188,20.9,0.653,2.2,0.000,0.489,0.511,0.531
inc,64,32768,5,0.9723,0.0169,1.7,0.9550,0.9952,64,10,0.156,39.6,0.619,4.2,0.000,0.253,0.747,-0.414
inc,16,262144,1,0.9968,0.0000,0.0,0.9968,0.9968,16,,,,,1,0.000,1.000,0.000,
inc,32,262144,20,0.9689,0.0665,6.9,0.7191,1.0794,32.0,3,0.094,21.6,0.675,2.4,0.000,0.481,0.519,0.234
inc,64,262144,20,0.7278,0.1859,25.5,0.4802,1.0055,64.0,4,0.062,40.7,0.636,4.2,0.000,0.254,0.746,-0.033
inc,128,262144,1,1.0031,0.0000,0.0,1.0031,1.0031,128,,,,,17,0.000,0.080,0.920,
inc,16,2097152,1,0.9948,0.0000,0.0,0.9948,0.9948,16,,,,,1,0.000,1.000,0.000,
inc,32,2097152,20,0.6028,0.0485,8.0,0.5182,0.7402,32.0,3,0.094,19.0,0.594,2.8,0.000,0.420,0.580,0.074
inc,64,2097152,20,0.4305,0.1509,35.1,0.2999,1.0115,64.0,3,0.047,37.6,0.587,4.2,0.000,0.253,0.747,0.515
inc,128,2097152,1,0.9958,0.0000,0.0,0.9958,0.9958,128,,,,,20,0.000,0.075,0.925,
inc,16,16777216,1,1.0133,0.0000,0.0,1.0133,1.0133,16,,,,,1,0.000,1.000,0.000,
inc,32,16777216,19,0.6677,0.1327,19.9,0.4962,1.0075,32,3,0.094,16.7,0.522,2.5,0.000,0.465,0.535,0.373
inc,64,16777216,20,0.3419,0.0631,18.5,0.2598,0.5326,64.0,3,0.047,39.8,0.622,4.2,0.000,0.253,0.747,0.553
inc,128,16777216,1,1.0064,0.0000,0.0,1.0064,1.0064,128,,,,,19,0.002,0.067,0.931,
