aggressor,nodes,victim_vec_bytes,run,ratio,va_same_switch_frac,va_same_cell_frac,va_cross_cell_frac,alloc_span_cells
inc,16,32768,congestion_agtr_inc_n16_vm32768_am1048576_2026-07-01_14-52-09-005840,1.0025,0.000,1.000,0.000,1
inc,32,32768,congestion_agtr_inc_n32_vm32768_am1048576_2026-07-02_16-00-42-322885,0.9824,0.000,0.500,0.500,2
inc,32,32768,congestion_agtr_inc_n32_vm32768_am1048576_2026-07-02_16-00-40-248420,0.9779,0.000,0.500,0.500,2
inc,32,32768,congestion_agtr_inc_n32_vm32768_am1048576_2026-07-01_14-52-55-987136,0.9877,0.000,0.445,0.555,3
inc,32,32768,congestion_agtr_inc_n32_vm32768_am1048576_2026-07-02_16-00-46-661305,0.9601,0.000,0.500,0.500,2
inc,32,32768,congestion_agtr_inc_n32_vm32768_am1048576_2026-07-02_16-00-44-479256,0.9805,0.000,0.500,0.500,2
inc,64,32768,congestion_agtr_inc_n64_vm32768_am1048576_2026-07-01_14-53-42-050111,0.9562,0.000,0.236,0.764,5
inc,64,32768,congestion_agtr_inc_n64_vm32768_am1048576_2026-07-02_16-03-02-875306,0.9952,0.000,0.256,0.744,4
inc,64,32768,congestion_agtr_inc_n64_vm32768_am1048576_2026-07-02_16-03-08-701031,0.9786,0.000,0.254,0.746,4
inc,64,32768,congestion_agtr_inc_n64_vm32768_am1048576_2026-07-02_16-03-11-624480,0.9550,0.000,0.259,0.741,4
inc,64,32768,congestion_agtr_inc_n64_vm32768_am1048576_2026-07-02_16-03-05-784922,0.9768,0.000,0.261,0.739,4
inc,16,262144,congestion_agtr_inc_n16_vm262144_am1048576_2026-07-01_14-52-14-273068,0.9968,0.000,1.000,0.000,1
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-01_14-53-01-393767,0.9896,0.000,0.445,0.555,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-08-404570,0.9844,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_12-56-11-525194,0.9938,0.000,0.508,0.492,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-17-090522,0.9881,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-14-839617,1.0293,0.000,0.408,0.592,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_12-56-16-017481,0.9950,0.000,0.508,0.492,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-00-48-960673,0.9648,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-00-51-078323,0.9780,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-03-710445,0.9833,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-12-792901,0.9799,0.000,0.408,0.592,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-19-154690,0.7191,0.000,0.469,0.531,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-00-59-251205,0.9687,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-06-258010,0.9601,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-00-56-205185,0.9429,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_12-56-09-390043,0.9829,0.000,0.480,0.520,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_12-56-07-022553,0.9881,0.000,0.480,0.520,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-10-568650,0.9612,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-01-01-559917,1.0794,0.000,0.408,0.592,3
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_16-00-54-088789,0.9281,0.000,0.500,0.500,2
inc,32,262144,congestion_agtr_inc_n32_vm262144_am1048576_2026-07-02_12-56-13-889722,0.9619,0.000,0.508,0.492,2
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-21-063803,0.8664,0.000,0.256,0.744,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_12-56-43-995542,0.5679,0.000,0.252,0.748,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_12-56-42-022257,0.5775,0.000,0.252,0.748,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_16-03-16-858121,0.9584,0.000,0.242,0.758,5
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-23-223387,0.9733,0.000,0.258,0.742,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_12-56-40-034770,1.0048,0.000,0.261,0.739,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-01_14-53-47-243905,0.5344,0.000,0.236,0.764,5
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_12-56-48-051601,0.4802,0.000,0.253,0.747,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-43-58-775908,1.0055,0.000,0.255,0.745,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-02-790286,0.7437,0.000,0.258,0.742,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-43-48-506223,0.7180,0.000,0.255,0.745,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_16-03-20-156973,0.9782,0.000,0.242,0.758,5
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-07-136995,0.7377,0.000,0.258,0.742,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_16-03-26-094947,0.7363,0.000,0.261,0.739,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-04-952339,0.7739,0.000,0.258,0.742,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-09-239561,0.7560,0.000,0.262,0.738,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_12-56-46-009365,0.6094,0.000,0.252,0.748,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-11-258582,0.4822,0.000,0.256,0.744,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_14-44-18-661527,0.5011,0.000,0.256,0.744,4
inc,64,262144,congestion_agtr_inc_n64_vm262144_am1048576_2026-07-02_16-03-22-814623,0.5510,0.000,0.259,0.741,4
inc,128,262144,congestion_agtr_inc_n128_vm262144_am1048576_2026-07-01_14-56-08-147324,1.0031,0.000,0.080,0.920,17
inc,16,2097152,congestion_agtr_inc_n16_vm2097152_am1048576_2026-07-01_14-52-18-993440,0.9948,0.000,1.000,0.000,1
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-45-993342,0.5873,0.000,0.357,0.643,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-41-624432,0.6446,0.000,0.348,0.652,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_12-56-20-979018,0.5714,0.000,0.508,0.492,2
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-21-418117,0.6018,0.000,0.445,0.555,3
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_12-56-25-182938,0.5705,0.000,0.508,0.492,2
inc,32,2097152,congestion_agtr_inc_n32_vm2097152_am1048576_2026-07-02_16-01-35-262564,0.6127,0.000,0.387,0.613,3
