victim_vec_bytes,n16,n32,n64,n128,n256
8,1,5,5,1,0
64,1,5,5,1,0
512,1,5,5,1,0
4096,1,5,5,0,0
32768,1,5,5,0,0
262144,1,20,20,1,0
2097152,1,20,20,1,0
16777216,1,19,20,1,0
